question_id,axis,opponent,rubric_oe_mean,rubric_opp_mean,rubric_margin,rubric_winner,rubric_n_judges_oe,rubric_n_judges_opp,rubric_n_judges_common,rubric_judge_diff_sd,pw_llm_margin,pw_llm_winner,pw_llm_net,pw_llm_n_judges,pw_llm_agreement,pw_human_margin,pw_human_winner,pw_human_net,pw_human_n_ratings,instrument_flip_llm,instrument_flip_vs_human,excluded_reason
002a4c98-2f31-4de0-8820-fb48ae471712,accuracy,claude-opus-4-8,3.5,3.5,0.0,tie,4,4,4,0.0,0.5,openevidence,2,4,0.75,,,,0,False,False,no_human_pairwise
002a4c98-2f31-4de0-8820-fb48ae471712,clinical_utility,claude-opus-4-8,3.5,3.75,-0.25,claude-opus-4-8,4,4,4,0.433,1.0,openevidence,4,4,1.0,,,,0,True,False,no_human_pairwise
002a4c98-2f31-4de0-8820-fb48ae471712,completeness,claude-opus-4-8,3.75,3.75,0.0,tie,4,4,4,0.0,1.0,openevidence,4,4,1.0,,,,0,False,False,no_human_pairwise
002a4c98-2f31-4de0-8820-fb48ae471712,source_quality,claude-opus-4-8,3.0,3.0,0.0,tie,4,4,4,0.7071,1.0,openevidence,4,4,1.0,,,,0,False,False,no_human_pairwise
002a4c98-2f31-4de0-8820-fb48ae471712,verifiability,claude-opus-4-8,3.0,3.0,0.0,tie,4,4,4,0.0,1.0,openevidence,4,4,1.0,,,,0,False,False,no_human_pairwise
002a4c98-2f31-4de0-8820-fb48ae471712,accuracy,gemini-3.1-pro,3.5,3.5,0.0,tie,4,4,4,0.0,-0.25,gemini-3.1-pro,-1,4,0.75,0.0,tie,0,1,False,False,
002a4c98-2f31-4de0-8820-fb48ae471712,clinical_utility,gemini-3.1-pro,3.5,3.5,0.0,tie,4,4,4,0.0,0.75,openevidence,3,4,0.75,1.0,openevidence,1,1,False,False,
002a4c98-2f31-4de0-8820-fb48ae471712,completeness,gemini-3.1-pro,3.75,3.5,0.25,openevidence,4,4,4,0.433,1.0,openevidence,4,4,1.0,1.0,openevidence,1,1,False,False,
002a4c98-2f31-4de0-8820-fb48ae471712,source_quality,gemini-3.1-pro,3.0,3.25,-0.25,gemini-3.1-pro,4,4,4,0.8292,1.0,openevidence,4,4,1.0,1.0,openevidence,1,1,True,True,
002a4c98-2f31-4de0-8820-fb48ae471712,verifiability,gemini-3.1-pro,3.0,3.0,0.0,tie,4,4,4,0.7071,1.0,openevidence,4,4,1.0,1.0,openevidence,1,1,False,False,
